time,lcj,hxj,fyj,hgj,x,y,z,
2018-5-20 11:7:50.88200,0.33900,121.14800,-0.10000,-1.00700,0.29013,-0.17534,-0.00060
2018-5-20 11:7:50.94400,0.35500,121.14800,-0.09900,-1.00800,0.30383,-0.18361,-0.00063
2018-5-20 11:7:50.99100,0.37000,121.14600,-0.09800,-1.00900,0.31666,-0.19137,-0.00065
2018-5-20 11:7:51.03800,0.38600,121.14700,-0.09800,-1.00600,0.33036,-0.19965,-0.00068
2018-5-20 11:7:51.08400,0.40200,121.14500,-0.09700,-1.00500,0.34405,-0.20792,-0.00071
2018-5-20 11:7:51.14700,0.41000,121.14500,-0.09600,-1.00900,0.35090,-0.21206,-0.00072
2018-5-20 11:7:51.19400,0.42600,121.14500,-0.09400,-1.00500,0.36459,-0.22034,-0.00075
2018-5-20 11:7:51.24000,0.44100,121.14600,-0.09800,-1.00500,0.37743,-0.22810,-0.00077
2018-5-20 11:7:51.30300,0.45700,121.14500,-0.09700,-1.00900,0.39112,-0.23637,-0.00080
2018-5-20 11:7:51.35000,0.47300,121.14900,-0.09900,-1.01200,0.40482,-0.24465,-0.00083
2018-5-20 11:7:51.39600,0.48100,121.14500,-0.10000,-1.00600,0.41166,-0.24878,-0.00084
2018-5-20 11:7:51.44300,0.49700,121.14700,-0.10200,-1.00700,0.42536,-0.25706,-0.00087
2018-5-20 11:7:51.50600,0.51200,121.14300,-0.10200,-1.00500,0.43819,-0.26482,-0.00090
2018-5-20 11:7:51.55200,0.53600,121.14600,-0.10300,-1.00600,0.45874,-0.27723,-0.00094
2018-5-20 11:7:51.59900,0.55200,121.14300,-0.10200,-1.00600,0.47243,-0.28551,-0.00097
2018-5-20 11:7:51.64600,0.56700,121.14300,-0.10500,-1.00600,0.48527,-0.29326,-0.00100
2018-5-20 11:7:51.70800,0.58300,121.14100,-0.10500,-1.00700,0.49896,-0.30154,-0.00103
2018-5-20 11:7:51.75500,0.60700,121.14100,-0.10700,-1.01000,0.51950,-0.31395,-0.00107
