2018-5-20 12:3:7.90000,3310.40625,-1603.75000,3.35500
2018-5-20 12:3:7.94700,3310.40625,-1603.75000,3.35500
2018-5-20 12:3:8.00900,3310.39942,-1603.74589,3.35503
2018-5-20 12:3:8.05600,3310.39942,-1603.74589,3.35503
2018-5-20 12:3:8.10300,3310.39942,-1603.74589,3.35503
2018-5-20 12:3:8.15000,3310.39942,-1603.74589,3.35503
2018-5-20 12:3:8.21200,3310.39942,-1603.74589,3.35503
2018-5-20 12:3:8.25900,3310.39258,-1603.74179,3.35505
2018-5-20 12:3:8.30600,3310.38575,-1603.73768,3.35508
2018-5-20 12:3:8.38400,3310.38575,-1603.73768,3.35508
2018-5-20 12:3:8.41500,3310.38575,-1603.73768,3.35508
2018-5-20 12:3:8.46200,3310.39258,-1603.74179,3.35505
2018-5-20 12:3:8.50800,3310.39942,-1603.74589,3.35503
2018-5-20 12:3:8.57100,3310.40625,-1603.75000,3.35500
2018-5-20 12:3:8.61800,3310.41308,-1603.75410,3.35500
2018-5-20 12:3:8.66400,3310.41308,-1603.75410,3.35500
2018-5-20 12:3:8.72700,3310.42675,-1603.76231,3.35500
2018-5-20 12:3:8.77400,3310.42675,-1603.76231,3.35500
2018-5-20 12:3:8.82000,3310.43958,-1603.77002,3.35501
2018-5-20 12:3:8.86700,3310.44642,-1603.77413,3.35501
2018-5-20 12:3:8.93000,3310.45325,-1603.77823,3.35501
2018-5-20 12:3:8.97600,3310.46692,-1603.78645,3.35501
2018-5-20 12:3:9.02300,3310.47375,-1603.79055,3.35502
2018-5-20 12:3:9.07000,3310.48742,-1603.79876,3.35502
2018-5-20 12:3:9.13200,3310.49425,-1603.80287,3.35502
2018-5-20 12:3:9.17900,3310.50708,-1603.81057,3.35502
2018-5-20 12:3:9.22600,3310.52075,-1603.81878,3.35503
2018-5-20 12:3:9.27300,3310.53442,-1603.82700,3.35503
2018-5-20 12:3:9.33500,3310.54814,-1603.83524,3.35503
2018-5-20 12:3:9.38200,3310.56775,-1603.84702,3.35504
2018-5-20 12:3:9.42900,3310.58147,-1603.85526,3.35504
2018-5-20 12:3:9.49100,3310.60197,-1603.86758,3.35505
2018-5-20 12:3:9.53800,3310.61480,-1603.87529,3.35505
2018-5-20 12:3:9.58500,3310.63530,-1603.88760,3.35506
2018-5-20 12:3:9.63200,3310.65580,-1603.89992,3.35506
2018-5-20 12:3:9.69400,3310.66863,-1603.90763,3.35507
2018-5-20 12:3:9.74100,3310.68230,-1603.91584,3.35507
2018-5-20 12:3:9.78800,3310.70963,-1603.93226,3.35508
2018-5-20 12:3:9.85000,3310.72330,-1603.94047,3.35508
2018-5-20 12:3:9.89700,3310.74297,-1603.95229,3.35508
2018-5-20 12:3:9.94400,3310.76346,-1603.96461,3.35509
2018-5-20 12:3:9.99000,3310.78313,-1603.97642,3.35509
2018-5-20 12:3:10.05300,3310.80363,-1603.98874,3.35509
2018-5-20 12:3:10.10000,3310.82418,-1604.00109,3.35510
2018-5-20 12:3:10.14600,3310.84379,-1604.01288,3.35510
2018-5-20 12:3:10.19300,3310.86434,-1604.02523,3.35511
2018-5-20 12:3:10.25600,3310.88484,-1604.03755,3.35511
2018-5-20 12:3:10.30200,3310.91133,-1604.05348,3.35511
2018-5-20 12:3:10.34900,3310.93183,-1604.06580,3.35511
2018-5-20 12:3:10.41200,3310.95149,-1604.07762,3.35512
2018-5-20 12:3:10.45800,3310.97882,-1604.09405,3.35512
2018-5-20 12:3:10.50500,3310.99848,-1604.10587,3.35512
2018-5-20 12:3:10.55200,3311.02580,-1604.12231,3.35512
2018-5-20 12:3:10.61400,3311.04630,-1604.13463,3.35513
2018-5-20 12:3:10.66100,3311.07279,-1604.15056,3.35513
2018-5-20 12:3:10.70800,3311.10017,-1604.16702,3.35514
