time,lcj,hxj,fyj,hgj,x,y,z,
2018-5-20 11:7:50.83500,0.33006,121.14360,-0.09916,-1.00500,521329.00164,4084094.57996,50.53672
2018-5-20 11:7:50.88200,0.33804,121.14560,-0.09816,-1.00700,521329.00848,4084094.57585,50.53672
2018-5-20 11:7:50.94400,0.35400,121.14560,-0.09716,-1.00800,521329.02216,4084094.56763,50.53673
2018-5-20 11:7:50.99100,0.36895,121.14360,-0.09616,-1.00900,521329.03498,4084094.55993,50.53673
2018-5-20 11:7:51.03800,0.38491,121.14460,-0.09616,-1.00600,521329.04865,4084094.55171,50.53673
2018-5-20 11:7:51.08400,0.40086,121.14260,-0.09516,-1.00500,521329.06232,4084094.54349,50.53673
2018-5-20 11:7:51.14700,0.40884,121.14260,-0.09416,-1.00900,521329.06916,4084094.53938,50.53673
2018-5-20 11:7:51.19400,0.42480,121.14260,-0.09216,-1.00500,521329.08284,4084094.53116,50.53674
2018-5-20 11:7:51.24000,0.43975,121.14360,-0.09616,-1.00500,521329.09566,4084094.52345,50.53674
2018-5-20 11:7:51.30300,0.45571,121.14260,-0.09516,-1.00900,521329.10933,4084094.51523,50.53674
2018-5-20 11:7:51.35000,0.47166,121.14660,-0.09716,-1.01200,521329.12301,4084094.50701,50.53674
2018-5-20 11:7:51.39600,0.47964,121.14260,-0.09816,-1.00600,521329.12984,4084094.50291,50.53674
2018-5-20 11:7:51.44300,0.49559,121.14460,-0.10016,-1.00700,521329.14352,4084094.49469,50.53674
2018-5-20 11:7:51.50600,0.51055,121.14060,-0.10016,-1.00500,521329.15634,4084094.48698,50.53674
2018-5-20 11:7:51.55200,0.53448,121.14360,-0.10116,-1.00600,521329.17685,4084094.47465,50.53675
2018-5-20 11:7:51.59900,0.55044,121.14060,-0.10016,-1.00600,521329.19053,4084094.46643,50.53675
2018-5-20 11:7:51.64600,0.56540,121.14060,-0.10316,-1.00600,521329.20335,4084094.45873,50.53675
2018-5-20 11:7:51.70800,0.58135,121.13860,-0.10316,-1.00700,521329.21702,4084094.45051,50.53675
2018-5-20 11:7:51.75500,0.60528,121.13860,-0.10516,-1.01000,521329.23753,4084094.43818,50.53675
2018-5-20 11:7:51.80200,0.62124,121.14060,-0.10616,-1.00400,521329.25121,4084094.42996,50.53675
2018-5-20 11:7:51.86400,0.63620,121.13860,-0.10616,-1.00800,521329.26403,4084094.42226,50.53675
2018-5-20 11:7:51.91100,0.65215,121.14060,-0.10916,-1.00900,521329.27770,4084094.41404,50.53674
2018-5-20 11:7:51.95800,0.67608,121.13860,-0.11016,-1.00400,521329.29822,4084094.40171,50.53674
2018-5-20 11:7:52.00500,0.69902,121.14060,-0.11116,-1.01100,521329.31788,4084094.38990,50.53674
2018-5-20 11:7:52.06700,0.71497,121.14360,-0.10916,-1.01100,521329.33155,4084094.38168,50.53674
2018-5-20 11:7:52.11400,0.73093,121.14560,-0.10916,-1.01500,521329.34523,4084094.37346,50.53674
2018-5-20 11:7:52.16100,0.75486,121.14460,-0.10816,-1.00700,521329.36574,4084094.36113,50.53673
2018-5-20 11:7:52.22300,0.77779,121.14560,-0.10816,-1.00900,521329.38539,4084094.34932,50.53673
2018-5-20 11:7:52.27000,0.79375,121.14560,-0.10516,-1.01100,521329.39907,4084094.34110,50.53673
2018-5-20 11:7:52.31700,0.80970,121.14760,-0.10816,-1.01200,521329.41274,4084094.33288,50.53673
