B001,-2443417.0791,4489171.1726,3802730.8012
B002,-2442513.5899,4489488.3705,3802942.7061
B003,-2441624.7842,4489782.3830,3803167.4150
B004,-2440757.6316,4490079.1862,3803363.6085
B005,-2439771.9799,4490404.7245,3803610.7078
B006,-2438917.5513,4490703.2212,3803808.7576
B007,-2438020.7109,4490998.1263,3804033.9087
B008,-2437113.7489,4491297.3183,3804256.8260
B009,-2436180.2063,4491534.8117,3804570.5130
B010,-2435214.2842,4491786.9784,3804887.7508
B011,-2434305.7770,4492011.5620,3805206.7022
B012,-2433346.0641,4492265.0105,3805524.3670
B013,-2432438.0405,4492489.2259,3805842.9697
B014,-2431470.1341,4492742.8224,3806161.6449
B015,-2430534.4973,4492948.3806,3806514.1541
B016,-2429393.6344,4493134.5469,3807019.1864
B017,-2428510.4765,4493257.3358,3807434.8385
B018,-2427539.4618,4493413.8840,3807866.2998
B019,-2426558.9115,4493622.3960,3808239.7460
B020,-2425613.4004,4493910.0132,3808497.4664
B021,-2424691.2171,4494187.5984,3808745.7620
CP31,-2443281.4369,4489218.0335,3802762.6421
CP32,-2441562.0731,4489809.4270,3803173.4639
CP33,-2437524.0317,4491163.3535,3804152.4482
CP34,-2434236.6462,4492035.4632,3805221.3755
CP35,-2429268.5132,4493145.2062,3807084.3450
CP36,-2424700.2180,4494183.6127,3808744.0544
CP37,-2432549.2388,4492461.0278,3805803.2689
CP38,-2430387.6256,4492981.2649,3806567.3738
CP39,-2427509.0208,4493417.4756,3807879.7591
CP40,-2425610.9119,4493903.0253,3808505.6379
