
2018-5-20 12:51:9.00000,1191.47715,-2021.12166,-0.59315,
2018-5-20 12:51:10.00000,1191.47827,-2021.12076,-0.59597,
2018-5-20 12:51:11.00000,1191.47905,-2021.12336,-0.59202,
2018-5-20 12:51:12.00000,1191.47480,-2021.12352,-0.59902,
2018-5-20 12:51:13.00000,1191.47390,-2021.12071,-0.59198,
2018-5-20 12:51:14.00000,1191.47826,-2021.12128,-0.59846,
2018-5-20 12:51:15.00000,1191.47863,-2021.12059,-0.60795,
2018-5-20 12:51:16.00000,1191.47943,-2021.12275,-0.59786,
2018-5-20 12:51:17.00000,1191.47577,-2021.12263,-0.58931,
2018-5-20 12:51:18.00000,1191.47710,-2021.12238,-0.59126,
2018-5-20 12:51:19.00000,1191.47595,-2021.12501,-0.60655,
2018-5-20 12:51:20.00000,1191.47675,-2021.12111,-0.59578,
2018-5-20 12:51:21.00000,1191.47735,-2021.11965,-0.59791,
2018-5-20 12:51:22.00000,1191.47986,-2021.11787,-0.60675,
2018-5-20 12:51:23.00000,1191.47753,-2021.12025,-0.61480,
2018-5-20 12:51:24.00000,1191.47935,-2021.12040,-0.60757,
2018-5-20 12:51:25.00000,1191.47509,-2021.11868,-0.60606,
2018-5-20 12:51:26.00000,1191.48260,-2021.12103,-0.61606,
2018-5-20 12:51:27.00000,1191.47965,-2021.12137,-0.60615,
2018-5-20 12:51:28.00000,1191.47972,-2021.12114,-0.61006,
2018-5-20 12:51:29.00000,1191.47865,-2021.11732,-0.61312,
2018-5-20 12:51:30.00000,1191.48015,-2021.11750,-0.62079,
2018-5-20 12:51:31.00000,1191.48039,-2021.11870,-0.60862,
2018-5-20 12:51:32.00000,1191.48098,-2021.11825,-0.61740,
2018-5-20 12:51:33.00000,1191.47940,-2021.11702,-0.62429,
2018-5-20 12:51:34.00000,1191.48033,-2021.11761,-0.61120,
2018-5-20 12:51:35.00000,1191.48020,-2021.11852,-0.62286,
2018-5-20 12:51:36.00000,1191.48449,-2021.11632,-0.62056,
2018-5-20 12:51:37.00000,1191.48135,-2021.11642,-0.61688,
2018-5-20 12:51:38.00000,1191.48344,-2021.11929,-0.61369,
2018-5-20 12:51:39.00000,1191.47859,-2021.11821,-0.61505,
2018-5-20 12:51:40.00000,1191.48154,-2021.11730,-0.61364,
2018-5-20 12:51:41.00000,1191.47687,-2021.11615,-0.60742,
2018-5-20 12:51:42.00000,1191.48079,-2021.11781,-0.61198,
2018-5-20 12:51:43.00000,1191.48481,-2021.11894,-0.61768,
2018-5-20 12:51:44.00000,1191.48109,-2021.11780,-0.61388,
2018-5-20 12:51:45.00000,1191.48162,-2021.11968,-0.61859,
2018-5-20 12:51:46.00000,1191.47981,-2021.11739,-0.61684,
2018-5-20 12:51:47.00000,1191.48366,-2021.11797,-0.62130,
2018-5-20 12:51:48.00000,1191.48190,-2021.11837,-0.61380,
2018-5-20 12:51:49.00000,1191.48269,-2021.11733,-0.61351,
2018-5-20 12:51:50.00000,1191.48386,-2021.11686,-0.61373,
2018-5-20 12:51:51.00000,1191.48190,-2021.11710,-0.61778,
2018-5-20 12:51:52.00000,1191.48181,-2021.11776,-0.61317,
2018-5-20 12:51:53.00000,1191.48571,-2021.11697,-0.62236,
2018-5-20 12:51:54.00000,1191.48365,-2021.11998,-0.61797,
2018-5-20 12:51:55.00000,1191.47905,-2021.12047,-0.60684,
2018-5-20 12:51:56.00000,1191.47857,-2021.12002,-0.60221,
2018-5-20 12:51:57.00000,1191.47733,-2021.11849,-0.61220,
2018-5-20 12:51:58.00000,1191.48345,-2021.11869,-0.61953,
2018-5-20 12:51:59.00000,1191.47783,-2021.11496,-0.59737,
2018-5-20 12:52:0.00000,1191.48070,-2021.11769,-0.61836,
2018-5-20 12:52:1.00000,1191.48281,-2021.11981,-0.60585,
2018-5-20 12:52:2.00000,1191.48235,-2021.11820,-0.61306,
2018-5-20 12:52:3.00000,1191.48313,-2021.11665,-0.60660,
2018-5-20 12:52:4.00000,1191.48360,-2021.11698,-0.62338,
2018-5-20 12:52:5.00000,1191.48162,-2021.11679,-0.60925,
2018-5-20 12:52:6.00000,1191.48261,-2021.11883,-0.61641,
2018-5-20 12:52:7.00000,1191.48116,-2021.11999,-0.60849,
2018-5-20 12:52:8.00000,1191.48072,-2021.11866,-0.60323,
2018-5-20 12:52:9.00000,1191.48448,-2021.11900,-0.61357,
2018-5-20 12:52:10.00000,1191.48198,-2021.11495,-0.61272,
2018-5-20 12:52:11.00000,1191.48842,-2021.11769,-0.60815,
2018-5-20 12:52:12.00000,1191.48256,-2021.11691,-0.61800,
2018-5-20 12:52:13.00000,1191.48653,-2021.11792,-0.61797,
2018-5-20 12:52:14.00000,1191.48695,-2021.11864,-0.61203,
2018-5-20 12:52:15.00000,1191.48742,-2021.11646,-0.61148,
2018-5-20 12:52:16.00000,1191.48785,-2021.11530,-0.61805,
2018-5-20 12:52:17.00000,1191.48773,-2021.11643,-0.61422,
2018-5-20 12:52:18.00000,1191.48667,-2021.11619,-0.61898,
2018-5-20 12:52:19.00000,1191.48561,-2021.11915,-0.60159,
2018-5-20 12:52:20.00000,1191.48678,-2021.11399,-0.59979,
2018-5-20 12:52:21.00000,1191.48687,-2021.11611,-0.61508,
2018-5-20 12:52:22.00000,1191.48265,-2021.11186,-0.60544,
2018-5-20 12:52:23.00000,1191.48655,-2021.11372,-0.60532,
2018-5-20 12:52:24.00000,1191.48548,-2021.11279,-0.60039,
2018-5-20 12:52:25.00000,1191.48669,-2021.11681,-0.60701,
2018-5-20 12:52:26.00000,1191.48492,-2021.11431,-0.60964,
2018-5-20 12:52:27.00000,1191.48640,-2021.11415,-0.60445,
2018-5-20 12:52:28.00000,1191.48318,-2021.11497,-0.60600,
2018-5-20 12:52:29.00000,1191.48251,-2021.11058,-0.60141,
2018-5-20 12:52:30.00000,1191.48723,-2021.11823,-0.61041,
2018-5-20 12:52:31.00000,1191.48711,-2021.11878,-0.63290,
2018-5-20 12:52:32.00000,1191.48452,-2021.11690,-0.59762,
2018-5-20 12:52:33.00000,1191.48633,-2021.11887,-0.62303,
2018-5-20 12:52:34.00000,1191.48601,-2021.11646,-0.61227,
2018-5-20 12:52:35.00000,1191.48336,-2021.11324,-0.61039,
2018-5-20 12:52:36.00000,1191.48640,-2021.11597,-0.61179,
2018-5-20 12:52:37.00000,1191.48487,-2021.11487,-0.60708,
2018-5-20 12:52:38.00000,1191.48538,-2021.11492,-0.61525,
2018-5-20 12:52:39.00000,1191.48853,-2021.11710,-0.61180,
2018-5-20 12:52:40.00000,1191.48691,-2021.11846,-0.60697,
2018-5-20 12:52:41.00000,1191.48373,-2021.11765,-0.61990,
2018-5-20 12:52:42.00000,1191.48452,-2021.11534,-0.61860,
2018-5-20 12:52:43.00000,1191.48571,-2021.11862,-0.61537,
2018-5-20 12:52:44.00000,1191.48146,-2021.11557,-0.62219,
2018-5-20 12:52:45.00000,1191.48365,-2021.11588,-0.61379,
2018-5-20 12:52:46.00000,1191.48615,-2021.11500,-0.61345,
2018-5-20 12:52:47.00000,1191.48854,-2021.11934,-0.62765,
2018-5-20 12:52:48.00000,1191.48561,-2021.11585,-0.62423,
2018-5-20 12:52:49.00000,1191.48704,-2021.11829,-0.61698,
2018-5-20 12:52:50.00000,1191.48686,-2021.11737,-0.60058,
2018-5-20 12:52:51.00000,1191.48830,-2021.11874,-0.62316,
2018-5-20 12:52:52.00000,1191.48668,-2021.11740,-0.62249,
2018-5-20 12:52:53.00000,1191.48642,-2021.11808,-0.61532,
2018-5-20 12:52:54.00000,1191.48842,-2021.11571,-0.61748,
2018-5-20 12:52:55.00000,1191.48788,-2021.11529,-0.61675,
2018-5-20 12:52:56.00000,1191.48496,-2021.11837,-0.62387,
2018-5-20 12:52:57.00000,1191.49086,-2021.11891,-0.62690,
2018-5-20 12:52:58.00000,1191.48224,-2021.11539,-0.61807,
2018-5-20 12:52:59.00000,1191.48520,-2021.11540,-0.61585,
2018-5-20 12:53:0.00000,1191.48501,-2021.11685,-0.62210,
2018-5-20 12:53:1.00000,1191.48535,-2021.11733,-0.61705,
2018-5-20 12:53:2.00000,1191.48719,-2021.11896,-0.61718,
2018-5-20 12:53:3.00000,1191.48520,-2021.11870,-0.61637,
2018-5-20 12:53:4.00000,1191.48476,-2021.11888,-0.61811,
2018-5-20 12:53:5.00000,1191.48314,-2021.11858,-0.62211,
2018-5-20 12:53:6.00000,1191.48961,-2021.11842,-0.61741,
2018-5-20 12:53:7.00000,1191.48494,-2021.12055,-0.60702,
2018-5-20 12:53:8.00000,1191.48439,-2021.11868,-0.61228,
2018-5-20 12:53:9.00000,1191.48715,-2021.11762,-0.62029,
2018-5-20 12:53:10.00000,1191.48640,-2021.12078,-0.62696,
2018-5-20 12:53:11.00000,1191.48704,-2021.11957,-0.62481,
2018-5-20 12:53:12.00000,1191.48682,-2021.11779,-0.62435,
2018-5-20 12:53:13.00000,1191.48379,-2021.11753,-0.62248,
2018-5-20 12:53:14.00000,1191.48676,-2021.11943,-0.62877,
2018-5-20 12:53:15.00000,1191.48222,-2021.11865,-0.62555,
2018-5-20 12:53:16.00000,1191.48358,-2021.12128,-0.61421,
2018-5-20 12:53:17.00000,1191.48665,-2021.12253,-0.62298,
2018-5-20 12:53:18.00000,1191.48175,-2021.12216,-0.61277,
2018-5-20 12:53:19.00000,1191.48446,-2021.12037,-0.61621,
2018-5-20 12:53:20.00000,1191.48000,-2021.12055,-0.60860,
2018-5-20 12:53:21.00000,1191.48411,-2021.11735,-0.61557,
2018-5-20 12:53:22.00000,1191.48454,-2021.12320,-0.62616,
2018-5-20 12:53:23.00000,1191.48456,-2021.12057,-0.62067,
2018-5-20 12:53:24.00000,1191.48098,-2021.11958,-0.61090,
2018-5-20 12:53:25.00000,1191.48534,-2021.11969,-0.62105,
2018-5-20 12:53:26.00000,1191.48366,-2021.11948,-0.61465,
2018-5-20 12:53:27.00000,1191.48551,-2021.11977,-0.62311,
2018-5-20 12:53:28.00000,1191.48398,-2021.12024,-0.61790,
2018-5-20 12:53:29.00000,1191.48241,-2021.12006,-0.62081,
2018-5-20 12:53:30.00000,1191.48793,-2021.11955,-0.62683,
2018-5-20 12:53:31.00000,1191.48677,-2021.12017,-0.62229,
2018-5-20 12:53:32.00000,1191.48442,-2021.11842,-0.61549,
2018-5-20 12:53:33.00000,1191.48433,-2021.12230,-0.61788,
2018-5-20 12:53:34.00000,1191.48625,-2021.12032,-0.62577,
2018-5-20 12:53:35.00000,1191.48567,-2021.11987,-0.62249,
2018-5-20 12:53:36.00000,1191.48758,-2021.11958,-0.62754,
2018-5-20 12:53:37.00000,1191.48723,-2021.12027,-0.63040,
2018-5-20 12:53:38.00000,1191.48774,-2021.11979,-0.62458,
2018-5-20 12:53:39.00000,1191.48944,-2021.11956,-0.63068,
2018-5-20 12:53:40.00000,1191.48704,-2021.12163,-0.61583,
2018-5-20 12:53:41.00000,1191.48685,-2021.11945,-0.63838,
2018-5-20 12:53:42.00000,1191.48694,-2021.12014,-0.63934,
2018-5-20 12:53:43.00000,1191.48803,-2021.12028,-0.62980,
2018-5-20 12:53:44.00000,1191.48676,-2021.11977,-0.62744,
2018-5-20 12:53:45.00000,1191.48765,-2021.11855,-0.63645,
