2018-5-20 11:36:43.78000,-1750.18782,1028.61702,-0.63814
2018-5-20 11:36:43.82600,-1750.16049,1028.60057,-0.63814
2018-5-20 11:36:43.87300,-1750.13400,1028.58462,-0.63814
2018-5-20 11:36:43.92000,-1750.09982,1028.56404,-0.63814
2018-5-20 11:36:43.98200,-1750.07333,1028.54808,-0.63815
2018-5-20 11:36:44.02900,-1750.03914,1028.52750,-0.63815
2018-5-20 11:36:44.07600,-1750.01268,1028.51156,-0.63815
2018-5-20 11:36:44.13800,-1749.98533,1028.49509,-0.63815
2018-5-20 11:36:44.18500,-1749.95884,1028.47913,-0.63816
2018-5-20 11:36:44.23200,-1749.92469,1028.45856,-0.63816
2018-5-20 11:36:44.27900,-1749.89820,1028.44260,-0.63816
2018-5-20 11:36:44.34100,-1749.86402,1028.42201,-0.63817
2018-5-20 11:36:44.38800,-1749.83753,1028.40604,-0.63818
2018-5-20 11:36:44.43500,-1749.81021,1028.38958,-0.63818
2018-5-20 11:36:44.48200,-1749.77690,1028.36951,-0.63819
2018-5-20 11:36:44.54400,-1749.74358,1028.34943,-0.63819
2018-5-20 11:36:44.59100,-1749.71623,1028.33295,-0.63820
2018-5-20 11:36:44.63800,-1749.68975,1028.31699,-0.63820
2018-5-20 11:36:44.70000,-1749.66243,1028.30052,-0.63821
2018-5-20 11:36:44.74700,-1749.62911,1028.28044,-0.63822
2018-5-20 11:36:44.79400,-1749.59494,1028.25985,-0.63823
2018-5-20 11:36:44.84000,-1749.56845,1028.24388,-0.63823
2018-5-20 11:36:44.90300,-1749.54113,1028.22742,-0.63824
2018-5-20 11:36:44.95000,-1749.50782,1028.20734,-0.63825
2018-5-20 11:36:44.99600,-1749.48047,1028.19086,-0.63826
2018-5-20 11:36:45.05900,-1749.44716,1028.17078,-0.63826
2018-5-20 11:36:45.10600,-1749.41984,1028.15432,-0.63827
2018-5-20 11:36:45.15200,-1749.39335,1028.13836,-0.63828
2018-5-20 11:36:45.19900,-1749.35917,1028.11776,-0.63829
2018-5-20 11:36:45.26200,-1749.32586,1028.09769,-0.63831
2018-5-20 11:36:45.30800,-1749.29937,1028.08173,-0.63831
2018-5-20 11:36:45.35500,-1749.27205,1028.06526,-0.63832
2018-5-20 11:36:45.40200,-1749.23873,1028.04519,-0.63833
