Sec,+-,+-,
2018-5-20 12:51:3.00000,-2428417.52510,4493275.96440,3807471.06720,
2018-5-20 12:51:4.00000,-2428417.52250,4493275.95980,3807471.06410,
2018-5-20 12:51:5.00000,-2428417.52250,4493275.96000,3807471.06210,
2018-5-20 12:51:6.00000,-2428417.52710,4493275.97310,3807471.07190,
2018-5-20 12:51:7.00000,-2428417.52640,4493275.96780,3807471.07500,
2018-5-20 12:51:8.00000,-2428417.51910,4493275.95630,3807471.06230,
2018-5-20 12:51:9.00000,-2428417.52220,4493275.95870,3807471.06580,
2018-5-20 12:51:10.00000,-2428417.52160,4493275.95570,3807471.06500,
2018-5-20 12:51:11.00000,-2428417.52060,4493275.95930,3807471.06800,
2018-5-20 12:51:12.00000,-2428417.51900,4493275.95670,3807471.06040,
2018-5-20 12:51:13.00000,-2428417.52440,4493275.96080,3807471.06390,
2018-5-20 12:51:14.00000,-2428417.52020,4493275.95420,3807471.06350,
2018-5-20 12:51:15.00000,-2428417.51710,4493275.94700,3807471.05810,
2018-5-20 12:51:16.00000,-2428417.51880,4493275.95470,3807471.06480,
2018-5-20 12:51:17.00000,-2428417.52320,4493275.96260,3807471.06700,
2018-5-20 12:51:18.00000,-2428417.52230,4493275.96040,3807471.06690,
2018-5-20 12:51:19.00000,-2428417.51450,4493275.95150,3807471.05680,
2018-5-20 12:51:20.00000,-2428417.52180,4493275.95680,3807471.06390,
2018-5-20 12:51:21.00000,-2428417.52210,4493275.95430,3807471.06310,
2018-5-20 12:51:22.00000,-2428417.51960,4493275.94590,3807471.05980,
2018-5-20 12:51:23.00000,-2428417.51510,4493275.94260,3807471.05310,
2018-5-20 12:51:24.00000,-2428417.51720,4493275.94680,3807471.05890,
2018-5-20 12:51:25.00000,-2428417.52050,4493275.94930,3807471.05640,
2018-5-20 12:51:26.00000,-2428417.51250,4493275.93940,3807471.05640,
2018-5-20 12:51:27.00000,-2428417.51680,4493275.94810,3807471.06000,
2018-5-20 12:51:28.00000,-2428417.51550,4493275.94520,3807471.05770,
2018-5-20 12:51:29.00000,-2428417.51800,4493275.94180,3807471.05500,
2018-5-20 12:51:30.00000,-2428417.51450,4493275.93570,3807471.05160,
2018-5-20 12:51:31.00000,-2428417.51800,4493275.94470,3807471.05910,
2018-5-20 12:51:32.00000,-2428417.51490,4493275.93800,3807471.05430,
2018-5-20 12:51:33.00000,-2428417.51380,4493275.93340,3807471.04890,
2018-5-20 12:51:34.00000,-2428417.51800,4493275.94240,3807471.05750,
2018-5-20 12:51:35.00000,-2428417.51280,4493275.93470,3807471.05040,
2018-5-20 12:51:36.00000,-2428417.51440,4493275.93300,3807471.05520,
2018-5-20 12:51:37.00000,-2428417.51660,4493275.93730,3807471.05490,
2018-5-20 12:51:38.00000,-2428417.51470,4493275.93980,3807471.05850,
2018-5-20 12:51:39.00000,-2428417.51650,4493275.94090,3807471.05380,
2018-5-20 12:51:40.00000,-2428417.51700,4493275.93990,3807471.05700,
2018-5-20 12:51:41.00000,-2428417.52170,4493275.94620,3807471.05700,
2018-5-20 12:51:42.00000,-2428417.51740,4493275.94170,3807471.05740,
2018-5-20 12:51:43.00000,-2428417.51310,4493275.93610,3807471.05720,
2018-5-20 12:51:44.00000,-2428417.51660,4493275.94020,3807471.05650,
2018-5-20 12:51:45.00000,-2428417.51300,4493275.93750,3807471.05410,
2018-5-20 12:51:46.00000,-2428417.51620,4493275.93860,3807471.05370,
2018-5-20 12:51:47.00000,-2428417.51290,4493275.93370,3807471.05410,
2018-5-20 12:51:48.00000,-2428417.51590,4493275.94010,3807471.05720,
2018-5-20 12:51:49.00000,-2428417.51670,4493275.93940,3807471.05800,
2018-5-20 12:51:50.00000,-2428417.51670,4493275.93840,3807471.05880,
2018-5-20 12:51:51.00000,-2428417.51550,4493275.93670,3807471.05480,
2018-5-20 12:51:52.00000,-2428417.51670,4493275.94030,3807471.05750,
2018-5-20 12:51:53.00000,-2428417.51280,4493275.93140,3807471.05510,
2018-5-20 12:51:54.00000,-2428417.51240,4493275.93700,3807471.05610,
2018-5-20 12:51:55.00000,-2428417.51750,4493275.94750,3807471.05910,
2018-5-20 12:51:56.00000,-2428417.51980,4493275.95080,3807471.06150,
2018-5-20 12:51:57.00000,-2428417.51770,4493275.94370,3807471.05450,
2018-5-20 12:51:58.00000,-2428417.51300,4493275.93540,3807471.05500,
2018-5-20 12:51:59.00000,-2428417.52630,4493275.95220,3807471.06380,
2018-5-20 12:52:0.00000,-2428417.51510,4493275.93720,3807471.05350,
2018-5-20 12:52:1.00000,-2428417.51740,4493275.94590,3807471.06270,
2018-5-20 12:52:2.00000,-2428417.51620,4493275.94030,3807471.05800,
2018-5-20 12:52:3.00000,-2428417.51980,4493275.94370,3807471.06250,
2018-5-20 12:52:4.00000,-2428417.51300,4493275.93180,3807471.05280,
2018-5-20 12:52:5.00000,-2428417.51910,4493275.94270,3807471.05970,
2018-5-20 12:52:6.00000,-2428417.51430,4493275.93810,3807471.05620,
2018-5-20 12:52:7.00000,-2428417.51670,4493275.94500,3807471.05980,
2018-5-20 12:52:8.00000,-2428417.52000,4493275.94830,3807471.06260,
2018-5-20 12:52:9.00000,-2428417.51470,4493275.93920,3807471.05940,
2018-5-20 12:52:10.00000,-2428417.51930,4493275.93920,3807471.05790,
2018-5-20 12:52:11.00000,-2428417.51680,4493275.94030,3807471.06580,
2018-5-20 12:52:12.00000,-2428417.51540,4493275.93610,3807471.05520,
2018-5-20 12:52:13.00000,-2428417.51340,4493275.93450,3807471.05840,
2018-5-20 12:52:14.00000,-2428417.51490,4493275.93880,3807471.06230,
2018-5-20 12:52:15.00000,-2428417.51690,4493275.93790,3807471.06300,
2018-5-20 12:52:16.00000,-2428417.51530,4493275.93250,3807471.05940,
2018-5-20 12:52:17.00000,-2428417.51580,4493275.93580,3807471.06160,
2018-5-20 12:52:18.00000,-2428417.51450,4493275.93290,3807471.05790,
2018-5-20 12:52:19.00000,-2428417.51880,4493275.94710,3807471.06750,
2018-5-20 12:52:20.00000,-2428417.52370,4493275.94530,3807471.06950,
2018-5-20 12:52:21.00000,-2428417.51600,4493275.93550,3807471.06040,
2018-5-20 12:52:22.00000,-2428417.52460,4493275.94250,3807471.06280,
2018-5-20 12:52:23.00000,-2428417.52190,4493275.94140,3807471.06600,
2018-5-20 12:52:24.00000,-2428417.52490,4493275.94500,3807471.06810,
2018-5-20 12:52:25.00000,-2428417.51850,4493275.94160,3807471.06510,
2018-5-20 12:52:26.00000,-2428417.52020,4493275.93950,3807471.06210,
2018-5-20 12:52:27.00000,-2428417.52190,4493275.94230,3807471.06640,
2018-5-20 12:52:28.00000,-2428417.52150,4493275.94330,3807471.06290,
2018-5-20 12:52:29.00000,-2428417.52730,4493275.94480,3807471.06510,
2018-5-20 12:52:30.00000,-2428417.51580,4493275.93960,3807471.06350,
2018-5-20 12:52:31.00000,-2428417.50680,4493275.92410,3807471.04990,
2018-5-20 12:52:32.00000,-2428417.52260,4493275.94940,3807471.06900,
2018-5-20 12:52:33.00000,-2428417.51070,4493275.93150,3807471.05520,
2018-5-20 12:52:34.00000,-2428417.51700,4493275.93810,3807471.06140,
2018-5-20 12:52:35.00000,-2428417.52130,4493275.93930,3807471.06040,
2018-5-20 12:52:36.00000,-2428417.51750,4493275.93800,3807471.06200,
2018-5-20 12:52:37.00000,-2428417.52070,4493275.94160,3807471.06360,
2018-5-20 12:52:38.00000,-2428417.51740,4493275.93560,3807471.05910,
2018-5-20 12:52:39.00000,-2428417.51590,4493275.93740,3807471.06370,
2018-5-20 12:52:40.00000,-2428417.51700,4493275.94230,3807471.06530,
2018-5-20 12:52:41.00000,-2428417.51370,4493275.93450,3807471.05500,
2018-5-20 12:52:42.00000,-2428417.51600,4493275.93390,3807471.05640,
2018-5-20 12:52:43.00000,-2428417.51400,4493275.93710,3807471.05930,
2018-5-20 12:52:44.00000,-2428417.51530,4493275.93310,3807471.05180,
2018-5-20 12:52:45.00000,-2428417.51760,4493275.93800,3807471.05860,
2018-5-20 12:52:46.00000,-2428417.51780,4493275.93650,3807471.06080,
2018-5-20 12:52:47.00000,-2428417.50790,4493275.92730,3807471.05420,
2018-5-20 12:52:48.00000,-2428417.51310,4493275.92960,3807471.05390,
2018-5-20 12:52:49.00000,-2428417.51330,4493275.93510,3807471.05940,
2018-5-20 12:52:50.00000,-2428417.52040,4493275.94630,3807471.06910,
2018-5-20 12:52:51.00000,-2428417.51020,4493275.93030,3807471.05670,
2018-5-20 12:52:52.00000,-2428417.51210,4493275.93100,3807471.05580,
2018-5-20 12:52:53.00000,-2428417.51430,4493275.93650,3807471.05990,
2018-5-20 12:52:54.00000,-2428417.51500,4493275.93280,3807471.06020,
2018-5-20 12:52:55.00000,-2428417.51580,4493275.93340,3807471.06020,
2018-5-20 12:52:56.00000,-2428417.51120,4493275.93140,3807471.05360,
2018-5-20 12:52:57.00000,-2428417.50790,4493275.92640,3807471.05650,
2018-5-20 12:52:58.00000,-2428417.51680,4493275.93550,3807471.05490,
2018-5-20 12:52:59.00000,-2428417.51680,4493275.93550,3807471.05860,
2018-5-20 12:53:0.00000,-2428417.51320,4493275.93190,3807471.05470,
2018-5-20 12:53:1.00000,-2428417.51460,4493275.93550,3807471.05800,
2018-5-20 12:53:2.00000,-2428417.51260,4493275.93520,3807471.05940,
2018-5-20 12:53:3.00000,-2428417.51370,4493275.93670,3807471.05830,
2018-5-20 12:53:4.00000,-2428417.51300,4493275.93580,3807471.05690,
2018-5-20 12:53:5.00000,-2428417.51220,4493275.93370,3807471.05320,
2018-5-20 12:53:6.00000,-2428417.51230,4493275.93350,3807471.06120,
2018-5-20 12:53:7.00000,-2428417.51570,4493275.94430,3807471.06370,
2018-5-20 12:53:8.00000,-2428417.51550,4493275.94000,3807471.06010,
2018-5-20 12:53:9.00000,-2428417.51260,4493275.93240,3807471.05750,
2018-5-20 12:53:10.00000,-2428417.50750,4493275.92960,3807471.05290,
2018-5-20 12:53:11.00000,-2428417.50920,4493275.93020,3807471.05470,
2018-5-20 12:53:12.00000,-2428417.51100,4493275.92980,3807471.05480,
2018-5-20 12:53:13.00000,-2428417.51280,4493275.93260,3807471.05350,
2018-5-20 12:53:14.00000,-2428417.50790,4493275.92750,3807471.05210,
2018-5-20 12:53:15.00000,-2428417.51110,4493275.93180,3807471.05040,
2018-5-20 12:53:16.00000,-2428417.51270,4493275.94030,3807471.05830,
2018-5-20 12:53:17.00000,-2428417.50740,4493275.93310,3807471.05550,
2018-5-20 12:53:18.00000,-2428417.51300,4493275.94270,3807471.05770,
