time,lcj,hxj,fyj,hgj,x,y,z,
2018-5-20 13:10:19.00000,4084085.07102,521328.77359,50.55808,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:20.00000,4084085.06942,521328.77472,50.56005,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:21.00000,4084085.06663,521328.77201,50.55059,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:22.00000,4084085.06626,521328.77563,50.55743,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:23.00000,4084085.06878,521328.77612,50.55241,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:24.00000,4084085.06824,521328.77474,50.55178,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:25.00000,4084085.06543,521328.77419,50.55570,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:26.00000,4084085.06273,521328.77345,50.56013,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:27.00000,4084085.06077,521328.77378,50.56158,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:28.00000,4084085.06828,521328.77090,50.54439,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:29.00000,4084085.06751,521328.77576,50.55676,0.00000,121.09400,-0.10704,-1.00800,
2018-5-20 13:10:30.00000,4084085.06168,521328.77628,50.56437,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:31.00000,4084085.06047,521328.77228,50.56247,0.00000,121.09400,-0.10800,-1.00900,
2018-5-20 13:10:32.00000,4084085.06131,521328.77212,50.56584,0.00000,121.08900,-0.10700,-1.00900,
2018-5-20 13:10:33.00000,4084085.06287,521328.77338,50.56644,0.00000,121.08800,-0.10700,-1.00800,
2018-5-20 13:10:34.00000,4084085.05882,521328.77891,50.55220,0.00671,121.08632,-0.10616,-1.00632,
2018-5-20 13:10:35.00000,4084084.99389,521328.89107,50.54895,0.11800,121.08600,-0.10200,-1.00552,
2018-5-20 13:10:36.00000,4084084.90059,521329.05961,50.55838,0.31152,121.08700,-0.09900,-1.00657,
2018-5-20 13:10:37.00000,4084084.84357,521329.13300,50.55215,0.40200,121.08797,-0.09926,-1.00674,
2018-5-20 13:10:38.00000,4084084.80794,521329.18238,50.56829,0.44900,121.08564,-0.09964,-1.00800,
2018-5-20 13:10:39.00000,4084084.79571,521329.20743,50.56218,0.48800,121.08800,-0.09906,-1.00706,
2018-5-20 13:10:40.00000,4084084.74502,521329.30263,50.58039,0.58752,121.08444,-0.09856,-1.00700,
2018-5-20 13:10:41.00000,4084084.72004,521329.35194,50.56754,0.63800,121.08038,-0.10313,-1.00800,
2018-5-20 13:10:42.00000,4084084.66738,521329.41994,50.56679,0.73164,121.08317,-0.11266,-1.00902,
2018-5-20 13:10:43.00000,4084084.62866,521329.48873,50.55147,0.81900,121.08798,-0.10940,-1.01140,
2018-5-20 13:10:44.00000,4084084.61475,521329.52186,50.54329,0.85100,121.08532,-0.10521,-1.00811,
2018-5-20 13:10:45.00000,4084084.59028,521329.54935,50.55450,0.83177,121.08760,-0.10300,-1.00840,
2018-5-20 13:10:46.00000,4084084.56771,521329.59971,50.54260,0.89000,121.09690,-0.10100,-1.00506,
2018-5-20 13:10:47.00000,4084084.52579,521329.66946,50.55054,0.97700,121.09568,-0.09234,-1.00500,
2018-5-20 13:10:48.00000,4084084.52005,521329.68495,50.54458,0.99300,121.09427,-0.08700,-1.00400,
2018-5-20 13:10:49.00000,4084084.50593,521329.70634,50.54581,0.96900,121.09224,-0.08141,-1.00179,
2018-5-20 13:10:50.00000,4084084.44860,521329.78973,50.56301,1.07038,121.09043,-0.09772,-1.00800,
2018-5-20 13:10:51.00000,4084084.40197,521329.86531,50.54475,1.16677,121.09329,-0.09910,-1.01200,
2018-5-20 13:10:52.00000,4084084.37178,521329.93104,50.54388,1.22100,121.09500,-0.09400,-1.01200,
2018-5-20 13:10:53.00000,4084084.35075,521329.94382,50.55913,1.25300,121.09200,-0.09000,-1.01580,
2018-5-20 13:10:54.00000,4084084.33880,521329.95475,50.54543,1.25300,121.09400,-0.09000,-1.01600,
2018-5-20 13:10:55.00000,4084084.33783,521329.95262,50.54071,1.25300,121.09469,-0.09013,-1.01528,
2018-5-20 13:10:56.00000,4084084.31027,521330.00755,50.54263,1.33183,121.09593,-0.09198,-1.01313,
2018-5-20 13:10:57.00000,4084084.20909,521330.19183,50.52263,1.56000,121.08950,-0.12600,-1.00900,
2018-5-20 13:10:58.00000,4084084.06472,521330.42285,50.49637,1.83634,121.09691,-0.12904,-1.00800,
2018-5-20 13:10:59.00000,4084083.93078,521330.65727,50.54733,2.09991,121.09577,-0.13626,-1.01230,
2018-5-20 13:11:0.00000,4084083.78916,521330.89856,50.51827,2.40300,121.10133,-0.12733,-1.01100,
2018-5-20 13:11:1.00000,4084083.61675,521331.18946,50.50474,2.73740,121.09319,-0.12638,-1.01404,
2018-5-20 13:11:2.00000,4084083.39385,521331.54447,50.51789,3.16766,121.09947,-0.12249,-1.00947,
2018-5-20 13:11:3.00000,4084083.17054,521331.92418,50.49934,3.61954,121.09016,-0.12248,-1.01568,
2018-5-20 13:11:4.00000,4084082.96165,521332.26467,50.52475,4.00419,121.08700,-0.11585,-1.01128,
2018-5-20 13:11:5.00000,4084082.77900,521332.56536,50.53456,4.35415,121.08283,-0.10528,-1.01862,
2018-5-20 13:11:6.00000,4084082.58956,521332.89273,50.50437,4.73752,121.08381,-0.10262,-1.01016,
2018-5-20 13:11:7.00000,4084082.39796,521333.22478,50.50171,5.12217,121.09700,-0.08266,-1.02334,
2018-5-20 13:11:8.00000,4084082.18827,521333.57368,50.51073,5.53274,121.08810,-0.10706,-1.01903,
2018-5-20 13:11:9.00000,4084081.97644,521333.91325,50.51924,5.93098,121.09156,-0.10844,-1.01931,
2018-5-20 13:11:10.00000,4084081.78567,521334.22988,50.52160,6.29774,121.07911,-0.11454,-1.02622,
2018-5-20 13:11:11.00000,4084081.59675,521334.53822,50.50797,6.67094,121.06157,-0.12477,-1.01943,
2018-5-20 13:11:12.00000,4084081.36540,521334.93423,50.53301,7.12760,121.06800,-0.09200,-1.01543,
2018-5-20 13:11:13.00000,4084081.08267,521335.39600,50.52477,7.67952,121.07120,-0.11089,-0.99822,
2018-5-20 13:11:14.00000,4084080.74669,521335.95967,50.52469,8.35398,121.08805,-0.11456,-0.99556,
2018-5-20 13:11:15.00000,4084080.35943,521336.59267,50.53786,9.09934,121.12521,-0.10991,-0.98721,
2018-5-20 13:11:16.00000,4084079.96103,521337.26113,50.54950,9.86887,121.13823,-0.09355,-1.00023,
2018-5-20 13:11:17.00000,4084079.54315,521337.94571,50.51301,10.68585,121.11394,-0.07491,-1.01004,
2018-5-20 13:11:18.00000,4084079.11135,521338.68231,50.51374,11.54921,121.11100,-0.09283,-1.01828,
2018-5-20 13:11:19.00000,4084078.64620,521339.45999,50.51522,12.45792,121.10905,-0.12532,-1.02563,
2018-5-20 13:11:20.00000,4084078.16552,521340.25377,50.51730,13.39654,121.09452,-0.11332,-1.01105,
2018-5-20 13:11:21.00000,4084077.67007,521341.06396,50.52429,14.34100,121.07453,-0.11247,-1.00149,
2018-5-20 13:11:22.00000,4084077.19278,521341.89040,50.52562,15.30298,121.07987,-0.10015,-1.00342,
2018-5-20 13:11:23.00000,4084076.66470,521342.74852,50.54776,16.29855,121.10166,-0.08966,-1.00945,
2018-5-20 13:11:24.00000,4084076.18111,521343.57370,50.53598,17.27700,121.08551,-0.08926,-1.01598,
2018-5-20 13:11:25.00000,4084075.66441,521344.41980,50.52476,18.26692,121.08700,-0.11482,-1.00900,
2018-5-20 13:11:26.00000,4084075.15462,521345.26935,50.52433,19.25065,121.08767,-0.11400,-1.00898,
2018-5-20 13:11:27.00000,4084074.66414,521346.08724,50.51722,20.21290,121.08300,-0.11502,-1.00503,
2018-5-20 13:11:28.00000,4084074.16926,521346.91046,50.52049,21.17639,121.10639,-0.09783,-1.00722,
2018-5-20 13:11:29.00000,4084073.65887,521347.76967,50.53621,22.18617,121.10048,-0.09183,-1.00352,
2018-5-20 13:11:30.00000,4084073.13099,521348.63443,50.52446,23.20479,121.08964,-0.09979,-1.00564,
2018-5-20 13:11:31.00000,4084072.62127,521349.49864,50.51066,24.20800,121.08400,-0.11968,-0.99751,
2018-5-20 13:11:32.00000,4084072.09705,521350.35339,50.49932,25.23283,121.11387,-0.11800,-0.99587,
2018-5-20 13:11:33.00000,4084071.56024,521351.24171,50.52786,26.25271,121.10732,-0.10632,-1.00084,
2018-5-20 13:11:34.00000,4084071.04904,521352.11560,50.50056,27.27749,121.08794,-0.10394,-1.00374,
2018-5-20 13:11:35.00000,4084070.52639,521352.95075,50.51472,28.26464,121.09428,-0.10700,-1.00864,
2018-5-20 13:11:36.00000,4084070.04037,521353.76792,50.41370,29.24300,121.08100,-0.11900,-1.01100,
2018-5-20 13:11:37.00000,4084069.48965,521354.64991,50.45209,30.28024,121.11430,-0.11530,-1.01040,
2018-5-20 13:11:38.00000,4084068.96323,521355.56002,50.44870,31.33748,121.10140,-0.11570,-1.00670,
2018-5-20 13:11:39.00000,4084068.42635,521356.44475,50.43767,32.37413,121.12253,-0.11553,-1.01123,
2018-5-20 13:11:40.00000,4084067.87800,521357.34401,50.44414,33.43349,121.09860,-0.09600,-1.01160,
2018-5-20 13:11:41.00000,4084067.34702,521358.24349,50.41281,34.46802,121.11186,-0.10375,-0.99987,
2018-5-20 13:11:42.00000,4084066.81963,521359.14237,50.47915,35.50900,121.10147,-0.13153,-1.00094,
2018-5-20 13:11:43.00000,4084066.28433,521360.02346,50.47666,36.54834,121.10306,-0.11747,-1.00082,
2018-5-20 13:11:44.00000,4084065.73952,521360.91371,50.49138,37.58248,121.09383,-0.09761,-1.00722,
2018-5-20 13:11:45.00000,4084065.20613,521361.80813,50.49889,38.63461,121.09461,-0.09761,-1.01517,
2018-5-20 13:11:46.00000,4084064.67447,521362.69029,50.48323,39.66463,121.07276,-0.10352,-1.00976,
2018-5-20 13:11:47.00000,4084064.12925,521363.59433,50.47938,40.73006,121.09677,-0.11538,-1.00215,
2018-5-20 13:11:48.00000,4084063.58527,521364.49106,50.44054,41.79098,121.12100,-0.10687,-1.00832,
2018-5-20 13:11:49.00000,4084063.04163,521365.38213,50.50601,42.80557,121.09189,-0.09611,-1.01666,
2018-5-20 13:11:50.00000,4084062.51265,521366.26344,50.49194,43.84519,121.09685,-0.08930,-1.01596,
2018-5-20 13:11:51.00000,4084061.99582,521367.13610,50.46882,44.87292,121.08300,-0.10663,-1.01000,
2018-5-20 13:11:52.00000,4084061.44138,521368.05434,50.46731,45.95900,121.10621,-0.11379,-1.00500,
2018-5-20 13:11:53.00000,4084060.87359,521368.99046,50.48415,47.05532,121.09726,-0.09900,-1.01000,
2018-5-20 13:11:54.00000,4084060.30467,521369.93361,50.50202,48.14143,121.07772,-0.10028,-1.00683,
2018-5-20 13:11:55.00000,4084059.72550,521370.90083,50.51463,49.28866,121.06589,-0.09998,-1.00706,
2018-5-20 13:11:56.00000,4084059.13366,521371.89174,50.49872,50.43091,121.13814,-0.11277,-1.01997,
2018-5-20 13:11:57.00000,4084058.54782,521372.85867,50.48891,51.56943,121.12022,-0.10617,-1.01583,
2018-5-20 13:11:58.00000,4084057.98134,521373.81278,50.48006,52.69596,121.10549,-0.10300,-1.00574,
2018-5-20 13:11:59.00000,4084057.39119,521374.78758,50.45669,53.83602,121.08400,-0.09836,-1.01074,
2018-5-20 13:12:0.00000,4084056.79331,521375.78512,50.47168,55.00943,121.10617,-0.09535,-1.00935,
2018-5-20 13:12:1.00000,4084056.19622,521376.77509,50.50192,56.15929,121.08745,-0.12377,-1.00723,
2018-5-20 13:12:2.00000,4084055.61203,521377.75181,50.49143,57.29157,121.12008,-0.11484,-1.00624,
2018-5-20 13:12:3.00000,4084055.01931,521378.73925,50.48502,58.45577,121.08400,-0.09779,-1.01260,
2018-5-20 13:12:4.00000,4084054.43003,521379.72369,50.46468,59.62522,121.08000,-0.10500,-1.01211,
2018-5-20 13:12:5.00000,4084053.83265,521380.72556,50.46320,60.78428,121.09100,-0.10298,-1.01136,
2018-5-20 13:12:6.00000,4084053.23512,521381.71747,50.45704,61.94700,121.10789,-0.09973,-1.01046,
2018-5-20 13:12:7.00000,4084052.63917,521382.69589,50.46357,63.08465,121.09462,-0.11300,-1.00900,
2018-5-20 13:12:8.00000,4084052.07161,521383.64926,50.44617,64.21081,121.10315,-0.12828,-1.01100,
2018-5-20 13:12:9.00000,4084051.48574,521384.61782,50.45123,65.35610,121.08790,-0.10771,-1.00271,
2018-5-20 13:12:10.00000,4084050.87519,521385.62615,50.48230,66.52383,121.09498,-0.11700,-1.00600,
2018-5-20 13:12:11.00000,4084050.26402,521386.62767,50.48003,67.69915,121.09929,-0.11671,-1.00387,
2018-5-20 13:12:12.00000,4084049.65420,521387.64333,50.48417,68.88368,121.10665,-0.11832,-1.02365,
2018-5-20 13:12:13.00000,4084049.05638,521388.65427,50.47214,70.06270,121.09652,-0.11626,-1.02252,
2018-5-20 13:12:14.00000,4084048.44586,521389.65427,50.46151,71.25732,121.06930,-0.10504,-1.01217,
2018-5-20 13:12:15.00000,4084047.80439,521390.71017,50.51062,72.46345,121.09436,-0.10264,-1.00732,
2018-5-20 13:12:16.00000,4084047.18563,521391.75947,50.51096,73.68968,121.10209,-0.10530,-1.00004,
2018-5-20 13:12:17.00000,4084046.55271,521392.80649,50.52966,74.90355,121.10319,-0.11300,-1.00365,
2018-5-20 13:12:18.00000,4084045.92320,521393.84134,50.57542,76.04970,121.07043,-0.09289,-1.01411,
2018-5-20 13:12:19.00000,4084045.34185,521394.82324,50.53902,77.20647,121.11704,-0.10104,-1.01557,
2018-5-20 13:12:20.00000,4084044.77415,521395.74706,50.55204,78.28117,121.10666,-0.09551,-1.01398,
2018-5-20 13:12:21.00000,4084044.23935,521396.63305,50.52809,79.32300,121.08874,-0.11138,-1.01038,
2018-5-20 13:12:22.00000,4084043.70939,521397.52332,50.50753,80.37757,121.10700,-0.10329,-1.01129,
2018-5-20 13:12:23.00000,4084043.12698,521398.48734,50.52962,81.50049,121.08932,-0.11206,-1.00626,
2018-5-20 13:12:24.00000,4084042.51635,521399.49755,50.54498,82.68721,121.07055,-0.10100,-1.01055,
2018-5-20 13:12:25.00000,4084041.91552,521400.49694,50.50827,83.86800,121.09200,-0.09000,-0.99900,
2018-5-20 13:12:26.00000,4084041.29565,521401.51459,50.52582,85.06323,121.08430,-0.10179,-1.00070,
2018-5-20 13:12:27.00000,4084040.70147,521402.51512,50.49274,86.24116,121.10253,-0.10131,-1.01369,
2018-5-20 13:12:28.00000,4084040.07151,521403.57032,50.54917,87.45184,121.09916,-0.09135,-1.01565,
2018-5-20 13:12:29.00000,4084039.45353,521404.60544,50.47247,88.68913,121.10609,-0.10743,-1.01800,
2018-5-20 13:12:30.00000,4084038.81134,521405.68307,50.54094,89.92813,121.11165,-0.11487,-1.01726,
2018-5-20 13:12:31.00000,4084038.18101,521406.72834,50.55302,91.13685,121.11845,-0.08579,-1.01277,
2018-5-20 13:12:32.00000,4084037.57066,521407.73897,50.55552,92.33600,121.07748,-0.11138,-1.00057,
2018-5-20 13:12:33.00000,4084036.94234,521408.78095,50.55042,93.53994,121.09300,-0.13238,-1.00400,
2018-5-20 13:12:34.00000,4084036.33762,521409.79092,50.50710,94.74200,121.09648,-0.09524,-0.99929,
2018-5-20 13:12:35.00000,4084035.73853,521410.79723,50.51957,95.92600,121.10498,-0.10692,-1.00802,
2018-5-20 13:12:36.00000,4084035.13776,521411.80123,50.52878,97.08106,121.10677,-0.11838,-1.02009,
2018-5-20 13:12:37.00000,4084034.52542,521412.80949,50.52976,98.23136,121.09317,-0.11091,-1.01091,
2018-5-20 13:12:38.00000,4084033.89495,521413.85522,50.54987,99.31100,121.11965,-0.12148,-1.00141,
2018-5-20 13:12:39.00000,4084033.26189,521414.90095,50.56491,100.48938,121.09255,-0.10830,-1.01340,
